"Status","Address","List Price","Original List Price","Sales Price","Days On Market"
"CLOSD","8442 Timberstone DR","$510,000","$510,000","$505,000","8"
"CLOSD","9925 Maidstone CT","$461,950","$461,950","$527,038","0"
"CLOSD","17031 Thornapple CT","$425,000","$425,000","$430,000","12"
"CLOSD","7130 Deep Creek DR","$685,000","$685,000","$725,000","4"
"CLOSD","9213 Cambian CT","$536,950","$536,950","$668,767","0"
"CLOSD","15907 Fishers Green DR","$460,950","$460,950","$547,230","0"
"CLOSD","11525 Longtown TRL","$425,000","$450,000","$430,000","4"
"CLOSD","17907 Pine Canyon TRL","$849,950","$849,950","$920,000","7"
"CLOSD","15107 Bellstone CT","$849,900","$849,900","$849,900","10"
"CLOSD","12901 Craftsbury MEWS","$442,950","$442,950","$500,803","0"
"CLOSD","5937 Sterlingworth DR","$554,075","$554,075","$615,690","8"
"CLOSD","4530 Summer Camp CT","$749,900","$749,900","$830,660","196"
"CLOSD","15736 Henningford RD","$480,922","$480,922","$482,827","10"
"CLOSD","9112 Cambian PL","$565,950","$565,950","$668,280","0"
"CLOSD","15306 Merton CT","$549,000","$549,000","$550,000","3"
"CLOSD","9212 Cambian CT","$689,310","$624,850","$689,310","0"
"CLOSD","7032 Dunton RD","$414,950","$414,950","$448,275","44"
"CLOSD","9618 Craftsbury DR","$458,950","$458,950","$514,886","0"
"CLOSD","5649 Rohan PL","$499,000","$499,000","$499,000","6"
"CLOSD","3848 Bellstone DR","$746,281","$746,281","$812,047","3"
"CLOSD","15312 Greenhart DR","$525,000","$525,000","$526,000","5"
"CLOSD","7028 Dunton RD","$404,950","$404,950","$421,188","64"
"CLOSD","13931 Collington MEWS","$489,950","$489,950","$512,850","16"
"CLOSD","7024 Dunton RD","$400,950","$400,950","$471,932","65"
