Status,List Price,Original List Price,Sales Price,Days On Market
PEND,"$725,000.00","$775,000.00",,29
PEND,"$999,500.00","$999,500.00",,17
PEND,"$925,000.00","$925,000.00",,16
PEND,"$1,650,000.00","$1,850,000.00",,95
CLOSD,"$715,000.00","$715,000.00","$757,500.00",7
PEND,"$799,000.00","$799,000.00",,3
PEND,"$725,000.00","$725,000.00",,2
ACT,"$999,000.00","$999,000.00",,10
ACT,"$899,000.00","$930,000.00",,38
PEND,"$950,000.00","$950,000.00",,12
CLOSD,"$799,000.00","$799,000.00","$850,000.00",8
CLOSD,"$1,000,000.00","$1,000,000.00","$1,135,000.00",7
ACT,"$1,149,950.00","$1,149,950.00",,0
CLOSD,"$725,000.00","$725,000.00","$754,500.00",6
ACT,"$849,950.00","$849,950.00",,10
CLOSD,"$768,000.00","$798,000.00","$760,000.00",20
CLOSD,"$695,000.00","$695,000.00","$715,000.00",2
CLOSD,"$775,000.00","$775,000.00","$785,000.00",4
CLOSD,"$999,950.00","$999,950.00","$1,222,200.00",7
CLOSD,"$899,950.00","$929,950.00","$915,000.00",215
ACT,"$825,000.00","$825,000.00",,5
ACT,"$1,369,000.00","$1,369,000.00",,98
PEND,"$1,200,000.00","$1,200,000.00",,25
CLOSD,"$799,000.00","$845,000.00","$805,000.00",9
ACT,"$1,099,000.00","$1,150,000.00",,29
PEND,"$1,650,000.00","$1,650,000.00",,12
CLOSD,"$724,900.00","$724,900.00","$785,000.00",3
ACT,"$1,099,500.00","$1,199,500.00",,39
CLOSD,"$759,000.00","$759,000.00","$750,000.00",13
PEND,"$845,000.00","$845,000.00",,4
ACT,"$835,000.00","$900,000.00",,140
ACT,"$1,299,950.00","$1,499,950.00",,22
ACT,"$1,295,950.00","$1,295,950.00",,10
CLOSD,"$1,795,000.00","$1,795,000.00","$1,795,000.00",8
PEND,"$999,950.00","$999,950.00",,8
ACT,"$1,050,000.00","$1,050,000.00",,3
ACT,"$1,550,000.00","$1,550,000.00",,17
CLOSD,"$1,020,000.00","$1,020,000.00","$950,000.00",11
CLOSD,"$750,000.00","$750,000.00","$750,500.00",2
ACT,"$899,900.00","$899,900.00",,35
ACT,"$954,954.00","$954,954.00",,6
ACT,"$729,900.00","$735,000.00",,45
ACT,"$849,995.00","$849,995.00",,41
PEND,"$725,000.00","$725,000.00",,4
CLOSD,"$739,000.00","$739,000.00","$760,000.00",3
PEND,"$789,000.00","$789,000.00",,6
ACT,"$799,000.00","$799,000.00",,10
ACT,"$900,000.00","$1,100,000.00",,63
CLOSD,"$799,950.00","$799,950.00","$970,000.00",6
CLOSD,"$850,000.00","$850,000.00","$850,000.00",7
ACT,"$1,295,000.00","$1,395,000.00",,121
PEND,"$1,249,900.00","$1,299,900.00",,40
ACT,"$1,071,000.00","$1,102,500.00",,33
PEND,"$915,000.00","$915,000.00",,6
PEND,"$1,050,000.00","$1,070,000.00",,35
ACT,"$1,595,000.00","$1,595,000.00",,2
CLOSD,"$1,250,000.00","$1,250,000.00","$1,520,000.00",7
CLOSD,"$1,500,000.00","$1,500,000.00","$1,835,000.00",11
CLOSD,"$1,299,000.00","$1,299,000.00","$1,290,000.00",5
ACT,"$825,000.00","$825,000.00",,11
ACT,"$1,195,000.00","$1,195,000.00",,26
PEND,"$975,000.00","$975,000.00",,18
CLOSD,"$1,075,000.00","$1,150,000.00","$1,075,000.00",134
CLOSD,"$1,050,000.00","$1,050,000.00","$1,115,000.00",11
PEND,"$929,000.00","$929,000.00",,16
PEND,"$1,150,000.00","$1,150,000.00",,8
PEND,"$1,199,900.00","$1,199,900.00",,5
ACT,"$875,000.00","$975,000.00",,37
ACT,"$899,950.00","$924,950.00",,25
CLOSD,"$1,100,000.00","$1,100,000.00","$1,080,000.00",17
CLOSD,"$1,125,000.00","$1,125,000.00","$1,115,000.00",13
ACT,"$969,000.00","$975,000.00",,34
ACT,"$774,995.00","$774,995.00",,10
CLOSD,"$715,000.00","$715,000.00","$755,000.00",6
ACT,"$725,500.00","$725,500.00",,11
CLOSD,"$975,000.00","$975,000.00","$975,000.00",78
ACT,"$899,950.00","$899,950.00",,177
PEND,"$890,000.00","$890,000.00",,9
CLOSD,"$1,295,000.00","$1,295,000.00","$1,295,000.00",13
ACT,"$1,125,000.00","$1,150,000.00",,19
PEND,"$799,950.00","$799,950.00",,8
PEND,"$1,000,000.00","$1,000,000.00",,35
PEND,"$849,950.00","$849,950.00",,3
CLOSD,"$999,950.00","$999,950.00","$1,000,000.00",13
CLOSD,"$899,500.00","$922,000.00","$890,000.00",26
CLOSD,"$789,500.00","$789,500.00","$789,500.00",8
ACT,"$725,000.00","$725,000.00",,4
CLOSD,"$764,900.00","$764,900.00","$825,000.00",2
ACT,"$749,000.00","$749,000.00",,3
PEND,"$849,950.00","$849,950.00",,6
CLOSD,"$719,000.00","$719,000.00","$719,000.00",9
CLOSD,"$799,000.00","$799,000.00","$818,000.00",7
PEND,"$1,150,000.00","$1,150,000.00",,127
PEND,"$865,000.00","$865,000.00",,8
CLOSD,"$795,000.00","$795,000.00","$875,000.00",5
CLOSD,"$1,075,000.00","$1,075,000.00","$1,155,000.00",5
PEND,"$935,000.00","$935,000.00",,10
PEND,"$745,000.00","$745,000.00",,6
CLOSD,"$799,500.00","$799,500.00","$822,500.00",4
PEND,"$959,900.00","$959,900.00",,6
CLOSD,"$859,900.00","$859,900.00","$850,000.00",9
CLOSD,"$1,575,000.00","$1,575,000.00","$1,736,000.00",12
CLOSD,"$824,000.00","$824,000.00","$810,000.00",8
CLOSD,"$769,000.00","$769,000.00","$840,000.00",6
ACT,"$1,199,000.00","$1,199,000.00",,114
PEND,"$1,299,000.00","$1,299,000.00",,8
ACT,"$1,229,000.00","$12,299,000.00",,30
CLOSD,"$1,500,000.00","$1,500,000.00","$1,500,000.00",4
ACT,"$1,695,000.00","$1,695,000.00",,44
CLOSD,"$1,450,000.00","$1,450,000.00","$1,500,000.00",4
CLOSD,"$1,550,000.00","$1,550,000.00","$1,565,000.00",8
ACT,"$1,599,900.00","$1,599,900.00",,242
ACT,"$1,050,000.00","$1,050,000.00",,3
PEND,"$715,000.00","$715,000.00",,27
ACT,"$1,100,000.00","$1,100,000.00",,20
PEND,"$1,095,000.00","$1,095,000.00",,6
PEND,"$837,900.00","$837,900.00",,3
PEND,"$989,000.00","$1,025,000.00",,50
ACT,"$850,000.00","$850,000.00",,16
PEND,"$725,000.00","$725,000.00",,3
PEND,"$1,650,000.00","$1,650,000.00",,8
CLOSD,"$960,000.00","$960,000.00","$980,000.00",3
ACT,"$935,000.00","$975,000.00",,25
CLOSD,"$699,900.00","$699,900.00","$715,000.00",3
CLOSD,"$750,000.00","$750,000.00","$760,000.00",4
PEND,"$724,950.00","$724,950.00",,5
ACT,"$1,750,000.00","$1,750,000.00",,34
CLOSD,"$1,350,000.00","$1,350,000.00","$1,275,000.00",20
ACT,"$1,950,000.00","$1,950,000.00",,6
PEND,"$1,350,000.00","$1,350,000.00",,6
CLOSD,"$805,000.00","$805,000.00","$780,000.00",43
ACT,"$1,200,000.00","$1,200,000.00",,53
ACT,"$1,699,999.00","$1,800,000.00",,60
ACT,"$1,100,000.00","$1,100,000.00",,2
ACT,"$1,250,000.00","$1,350,000.00",,39
CLOSD,"$1,175,000.00","$1,175,000.00","$1,352,000.00",8
PEND,"$1,089,000.00","$1,089,000.00",,3
PEND,"$1,215,000.00","$1,215,000.00",,22
CLOSD,"$995,000.00","$995,000.00","$995,000.00",7
CLOSD,"$1,549,950.00","$1,549,950.00","$1,750,000.00",10
ACT,"$875,000.00","$875,000.00",,10
ACT,"$925,000.00","$925,000.00",,10
ACT,"$1,375,000.00","$1,375,000.00",,3
EXP,"$1,375,000.00","$1,650,950.00",,72
ACT,"$1,960,000.00","$1,960,000.00",,6
ACT,"$1,800,000.00","$1,800,000.00",,11
PEND,"$1,340,000.00","$1,340,000.00",,8
PEND,"$1,350,000.00","$1,350,000.00",,4
PEND,"$1,150,000.00","$1,250,000.00",,34
CLOSD,"$1,400,000.00","$1,400,000.00","$1,400,000.00",4
PEND,"$1,095,000.00","$1,095,000.00",,8
